kurohiko,independent,UCrhE2Aa-OnfgwUt5VG2oHog,M,1
nagao_kei,nijisanji,UCXW4MqCQn-jCaxlX-nn-BYg,M,0
souta_izumi,aka_virtual,UCv7rxNkDhRu-uyyLIQg2tew,M,1
kirschtorte,independent,UCCebCRguPlkvWemz2dKxWIA,M,0
kobo_kanaeru,hololive_id,UCjLEmnpCNeisMxy134KPwWw,F,1
sakura_miko,hololive,UC-hM6YJuNYVAmUWxeIr9FeA,F,0
nakiri_ayame,hololive,UCqm3BQLlJfvkTsX_hvm0UmA,F,0
kanae,nijisanji,UCspv01oxUFf_MTSipURRhkA,M,0
laplus_darkness,hololive,UCENwRMx5Yh42zWpzURebzTw,F,0
yukihana_lamy,hololive,UCFKOVgVbGmX65RxO3EtH3iw,F,0
murasaki_shion,hololive,UCXTpFs_3PqI41qX2d9tL2Rw,F,0
omaru_polka,hololive,UCK9V2B22uJYu3N7eR_BT9QA,F,0
zerrilham,project_yoru,UCEZRIqrbM2oBStuVOLaSRqQ,M,1
toshiruz,neobaka,UCT7sUh1Spye6kbBAMZPCsKA,M,1
