whale_taylor,infinitygoalmusicpro,UCmkA3ZlbadJFCfR7OnQWM0A,M,0
tsunomaki_watame,hololive,UCqm3BQLlJfvkTsX_hvm0UmA,F,0
akai_haato,hololive,UC1CfXB_kRs3C-zaeTG3oGyg,F,0
hoshimachi_suisei,hololive,UC5CwaMl1eIgY8h02uZw7u8A,F,0
nekomata_okayu,hololive,UCvaTdHTWBGv3MKj3KVqJVCw,F,0
houshou_marine,hololive,UCCzUftO8KOVkV4wQG1vkUvg,F,0
shishiro_botan,hololive,UCUKD-uaobj9jiqB-VXt71mA,F,0
ayunda_risu,hololive_id,UCOyYb1c43VlX9rc_lT6NKQw,F,1
mori_calliope,hololive_en,UCL_qhgtOy0dy1Agp8vkySQg,F,1
inuyama_tamaki,noripro,UC8NZiqKx6fsDT3AVcMiVFyA,M,0
harris_caine,aka_virtual,UCtC7olOldksX4fcl_8XKUFA,M,1
roboco,hololive,UCDqI2jOz0weumE8s7paEk6g,F,0
