mayuzumi_kai,nijisanji,UCb5JxV6vKlYVknoJB8TnyYg,M,0
alban_knox,nijisanji_en,UCQ1zGxHrfEmmW4CPpBx9-qw,M,1
andi_adinata,maha5,UC9QnAjC7mT4ggHuedr1_kqQ,M,0
saegusa_akina,nijisanji,UCNW1Ex0r6HsWRD4LCtPwvoQ,M,0
kaida_haru,nijisanji,UCo2N7C-Z91waaR6lF3LL_jw,M,O
uki_violeta,nijisanji_en,UChJ5FTsHOu72_5OVx0rvsvQ,M,1
gingitsune_gehenna,aka_virtual,UC8D3XmwYEr97q-tuNZjUuww,M,1
nerumero,independent,UCiR6oBbZBlAuOLInDTMzYuw,M,0
joe_rikiichi,nijisanji,UChUJbHiTVeGrSkTdBzVfNCQ,M,0
sonny_brisko,nijisanji_en,UCuuAb_72QzK0M1USPMEl1yw,M,0
lee_listen,independent,UCw2CTp01JDHoyH-4tFX9UlA,M,1
ren_zotto,nijisanji_en,UCKu59gTZ_rdEmerdx5rV4Yg,M,0
lucius_merryweather,astra_line,UC4Y7rOgtVgi2-POi0av8QsQ,M,0
hanabatake_chaika,nijisanji,UCsFn_ueskBkMCEyzCEqAOvg,M,0
gwelu_os_gar,nijisanji,UC1QgXt46-GEvtNjEC1paHnw,M,0
